Borough,"date_mday",Agency,AvgCloseTime,AvgTimeMin
Unspecified,18,HRA,"00:00:57.605263","0.016001462"
Unspecified,15,HRA,"00:00:56.892857","0.015803571"
Unspecified,20,HRA,"00:00:56.149254","0.015597015"
"STATEN ISLAND",15,DHS,"00:00:53.000000","0.014722222"
BROOKLYN,18,DHS,"00:00:52.750000","0.014652778"
QUEENS,16,DHS,"00:00:52.000000","0.014444444"
Unspecified,12,HRA,"00:00:51.614458","0.014337349"
Unspecified,13,HRA,"00:00:51.014925","0.014170813"
BRONX,13,TLC,"00:00:51.000000","0.014166667"
Unspecified,1,HRA,"00:00:51.000000","0.014166667"
BROOKLYN,20,TLC,"00:00:50.000000","0.013888889"
BROOKLYN,7,TLC,"00:00:50.000000","0.013888889"
"STATEN ISLAND",18,DHS,"00:00:50.000000","0.013888889"
Unspecified,8,HRA,"00:00:48.621622","0.013506006"
QUEENS,21,TLC,"00:00:48.000000","0.013333333"
MANHATTAN,3,DHS,"00:00:45.750000","0.012708333"
Unspecified,19,HRA,"00:00:45.454545","0.012626263"
BROOKLYN,5,DHS,"00:00:45.000000","0.012500000"
QUEENS,15,DHS,"00:00:44.500000","0.012361111"
BROOKLYN,11,DHS,"00:00:44.250000","0.012291667"
BROOKLYN,13,DHS,"00:00:44.000000","0.012222222"
QUEENS,19,TLC,"00:00:43.000000","0.011944444"
QUEENS,4,DHS,"00:00:42.500000","0.011805556"
Unspecified,6,HRA,"00:00:42.441558","0.011789322"
MANHATTAN,9,DHS,"00:00:42.200000","0.011722222"
MANHATTAN,7,DHS,"00:00:42.166667","0.011712963"
"STATEN ISLAND",4,DHS,"00:00:42.000000","0.011666667"
Unspecified,17,HRA,"00:00:41.432836","0.011509121"
Unspecified,4,HRA,"00:00:41.329268","0.011480352"
BRONX,10,DHS,"00:00:41.000000","0.011388889"
BROOKLYN,4,DHS,"00:00:41.000000","0.011388889"
"STATEN ISLAND",12,DHS,"00:00:41.000000","0.011388889"
MANHATTAN,18,DHS,"00:00:40.642857","0.011289683"
Unspecified,11,HRA,"00:00:40.583333","0.011273148"
Unspecified,5,HRA,"00:00:40.513514","0.011253754"
MANHATTAN,21,DHS,"00:00:39.166667","0.010879630"
BRONX,10,TLC,"00:00:39.000000","0.010833333"
BRONX,21,TLC,"00:00:39.000000","0.010833333"
Unspecified,7,HRA,"00:00:38.428571","0.010674603"
MANHATTAN,11,DHS,"00:00:38.000000","0.010555556"
MANHATTAN,19,TLC,"00:00:38.000000","0.010555556"
QUEENS,12,DHS,"00:00:38.000000","0.010555556"
QUEENS,20,DHS,"00:00:38.000000","0.010555556"
BROOKLYN,19,DHS,"00:00:37.500000","0.010416667"
Unspecified,16,HRA,"00:00:35.310345","0.0098084292"
BROOKLYN,9,DHS,"00:00:35.000000","0.0097222222"
QUEENS,5,TLC,"00:00:35.000000","0.0097222222"
MANHATTAN,20,DHS,"00:00:34.666667","0.0096296297"
Unspecified,10,TLC,"00:00:34.333333","0.0095370369"
BRONX,8,DHS,"00:00:34.000000","0.0094444444"
MANHATTAN,16,DHS,"00:00:34.000000","0.0094444444"
MANHATTAN,4,DHS,"00:00:34.000000","0.0094444444"
BRONX,4,DHS,"00:00:33.000000","0.0091666667"
MANHATTAN,21,TLC,"00:00:32.200000","0.0089444444"
BRONX,6,DHS,"00:00:32.000000","0.0088888889"
QUEENS,1,DHS,"00:00:32.000000","0.0088888889"
MANHATTAN,12,DHS,"00:00:31.375000","0.0087152778"
Unspecified,9,HRA,"00:00:31.372093","0.0087144703"
Unspecified,2,HRA,"00:00:30.886364","0.0085795456"
BROOKLYN,16,TLC,"00:00:29.000000","0.0080555556"
MANHATTAN,5,DHS,"00:00:28.000000","0.0077777778"
QUEENS,11,TLC,"00:00:28.000000","0.0077777778"
MANHATTAN,17,DHS,"00:00:27.750000","0.0077083333"
QUEENS,10,TLC,"00:00:27.000000","0.0075000000"
MANHATTAN,2,DHS,"00:00:26.500000","0.0073611111"
QUEENS,8,DHS,"00:00:26.000000","0.0072222222"
BROOKLYN,7,DHS,"00:00:25.500000","0.0070833333"
QUEENS,9,DHS,"00:00:25.000000","0.0069444444"
BROOKLYN,16,DHS,"00:00:24.000000","0.0066666667"
QUEENS,2,TLC,"00:00:24.000000","0.0066666667"
BROOKLYN,21,DHS,"00:00:23.000000","0.0063888889"
Unspecified,7,TLC,"00:00:23.000000","0.0063888889"
QUEENS,21,DHS,"00:00:22.500000","0.0062500000"
MANHATTAN,13,DHS,"00:00:22.400000","0.0062222222"
BROOKLYN,12,DHS,"00:00:19.500000","0.0054166667"
BROOKLYN,2,DHS,"00:00:19.500000","0.0054166667"
BROOKLYN,1,DHS,"00:00:19.000000","0.0052777778"
QUEENS,7,DHS,"00:00:19.000000","0.0052777778"
QUEENS,20,TLC,"00:00:18.000000","0.0050000000"
BROOKLYN,8,DHS,"00:00:17.000000","0.0047222222"
BRONX,9,DHS,"00:00:15.000000","0.0041666667"
QUEENS,2,DHS,"00:00:15.000000","0.0041666667"
BROOKLYN,15,DHS,"00:00:13.000000","0.0036111111"
BROOKLYN,17,DHS,"00:00:11.000000","0.0030555556"
Unspecified,2,TLC,"00:00:11.000000","0.0030555556"
BRONX,5,DHS,"00:00:10.000000","0.0027777778"
QUEENS,19,DHS,"00:00:09.500000","0.002638889"
QUEENS,4,TLC,"00:00:09.000000","0.002500000"
BRONX,4,TLC,"00:00:05.000000","0.001388889"
BRONX,21,DOB,"00:00:00.000000","0.000000"
BRONX,21,HPD,"00:00:00.000000","0.000000"
BRONX,7,DOHMH,"00:00:00.000000","0.000000"
BROOKLYN,21,DOB,"00:00:00.000000","0.000000"
BROOKLYN,21,HPD,"00:00:00.000000","0.000000"
MANHATTAN,21,DOB,"00:00:00.000000","0.000000"
MANHATTAN,21,HPD,"00:00:00.000000","0.000000"
QUEENS,13,DOHMH,"00:00:00.000000","0.000000"
QUEENS,21,HPD,"00:00:00.000000","0.000000"
"STATEN ISLAND",21,DOB,"00:00:00.000000","0.000000"
"STATEN ISLAND",7,DOB,"00:00:00.000000","0.000000"
"STATEN ISLAND",9,DOB,"00:00:00.000000","0.000000"
Unspecified,4,DEP,"00:00:00.000000","0.000000"
