Borough,"date_mday",Latitude,Longitude,count
BRONX,1,"40.80375030779139","-73.92012982481079",1
BRONX,1,"40.80413650785462","-73.91515911754637",1
BRONX,1,"40.80475097942054","-73.91468875752561",1
BRONX,1,"40.80539832383595","-73.91413526667066",1
BRONX,1,"40.80626561503184","-73.91784388898023",1
BRONX,1,"40.80636611531259","-73.91637720489464",1
BRONX,1,"40.80767758981961","-73.9195254723165",2
BRONX,1,"40.80780609467064","-73.88089903854528",1
BRONX,1,"40.8079180306558","-73.91797189217512",1
BRONX,1,"40.80809127110673","-73.91842682978356",1
BRONX,1,"40.808295469648364","-73.9088864379422",1
BRONX,1,"40.80835985531363","-73.9140989351677",1
BRONX,1,"40.8086025092708","-73.85713202431351",1
BRONX,1,"40.80952775894101","-73.91984835021823",1
BRONX,1,"40.810115577363526","-73.85551041064906",1
BRONX,1,"40.81178148739698","-73.90244417056725",3
BRONX,1,"40.811994789058545","-73.85696940375264",4
BRONX,1,"40.812268311440235","-73.90364281951838",1
BRONX,1,"40.81276830302684","-73.88889199175595",1
BRONX,1,"40.81282099564636","-73.90822636767874",5
BRONX,1,"40.81352534643105","-73.91775544992763",11
BRONX,1,"40.81388451317514","-73.88517996106691",1
BRONX,1,"40.814324997979966","-73.91908030382514",1
BRONX,1,"40.81441955223653","-73.90965477441011",1
BRONX,1,"40.81507601720179","-73.90346895792",1
BRONX,1,"40.81524134500061","-73.90424183572789",2
BRONX,1,"40.815495813418735","-73.92134043809928",1
BRONX,1,"40.81555274839333","-73.90575872836806",8
BRONX,1,"40.81559692480092","-73.902767334972",1
BRONX,1,"40.81575279469048","-73.88707341979745",3
BRONX,1,"40.81604970414737","-73.92054859286367",1
BRONX,1,"40.81640858265578","-73.91572512729603",1
BRONX,1,"40.81645568422696","-73.8960860773446",2
BRONX,1,"40.81664330417759","-73.88832554199675",5
BRONX,1,"40.81673857206161","-73.88750528080396",2
BRONX,1,"40.816798471957","-73.92808757668843",1
BRONX,1,"40.81690674679369","-73.84754390958257",1
BRONX,1,"40.816999436105554","-73.90271831949389",1
BRONX,1,"40.81725553183427","-73.9037150802771",1
BRONX,1,"40.8173172740464","-73.81147622193116",1
BRONX,1,"40.81753174230529","-73.90924230035962",1
BRONX,1,"40.81759808899907","-73.89986692373677",1
BRONX,1,"40.8176149281073","-73.8583374259196",1
BRONX,1,"40.81801253627153","-73.9251851473035",2
BRONX,1,"40.81805681793068","-73.8855087576619",1
BRONX,1,"40.81808614346437","-73.88741629434003",1
BRONX,1,"40.81836708393693","-73.86296391279876",1
BRONX,1,"40.81845825937271","-73.91867063616294",1
BRONX,1,"40.81933519499014","-73.85126327132416",1
BRONX,1,"40.81972978907495","-73.89271008873497",2
BRONX,1,"40.819872656172755","-73.91236069678328",10
BRONX,1,"40.82004855123828","-73.89611659660189",2
BRONX,1,"40.820116341402354","-73.92306558580785",1
BRONX,1,"40.82022138042416","-73.89601877661764",2
